Country,Name,Month,Avg_Max_Temp,Avg_Min_Temp,Avg_Rain
India,Visakhapatnam,Jun,34.20,26.20,62.20
India,Visakhapatnam,Jul,33.00,26.00,322.60
India,Visakhapatnam,Aug,32.60,25.40,270.30
India,Visakhapatnam,Sep,32.20,25.20,223.40
India,Visakhapatnam,Oct,31.80,24.20,164.30
India,Visakhapatnam,Nov,29.20,23.80,148.60
India,Visakhapatnam,Dec,27.80,23.40,121.90
India,Nagpur,Jan,28.40,16.40,13.80
India,Nagpur,Feb,30.70,18.60,20.10
India,Nagpur,Mar,32.90,21.30,30.70
India,Nagpur,Apr,35.60,24.00,49.00
India,Nagpur,May,37.20,26.40,68.60
India,Nagpur,Jun,36.00,27.60,233.20
India,Nagpur,Jul,35.60,28.20,328.80
India,Nagpur,Aug,35.20,28.00,285.80
India,Nagpur,Sep,34.80,27.60,249.60
India,Nagpur,Oct,32.60,26.20,164.30
India,Nagpur,Nov,29.60,23.60,43.90
India,Nagpur,Dec,27.40,17.40,19.80
India,Indore,Jan,25.80,15.40,17.30
India,Indore,Feb,28.00,16.60,19.50
India,Indore,Mar,30.20,18.20,29.60
India,Indore,Apr,32.40,19.80,46.50
India,Indore,May,34.60,21.00,66.80
India,Indore,Jun,34.20,22.20,188.00
India,Indore,Jul,33.60,23.20,314.20
India,Indore,Aug,33.00,22.60,309.40
India,Indore,Sep,32.40,22.20,258.80
India,Indore,Oct,30.60,21.00,163.30
India,Indore,Nov,27.80,18.60,43.20
India,Indore,Dec,25.20,16.00,19.00
India,Jaipur,Jan,23.40,11.40,15.80
India,Jaipur,Feb,26.20,13.60,19.50
India,Jaipur,Mar,29.40,15.80,29.60
India,Jaipur,Apr,32.60,18.00,46.50
India,Jaipur,May,35.00,20.20,66.80
India,Jaipur,Jun,35.80,21.60,188.00
India,Jaipur,Jul,35.20,22.40,314.20
India,Jaipur,Aug,34.60,22.00,309.40
India,Jaipur,Sep,33.80,21.60,258.80
India,Jaipur,Oct,31.80,20.40,163.30
India,Jaipur,Nov,28.80,18.00,43.20
India,Jaipur,Dec,26.00,13.60,19.00
India,Cuttack,Jan,27.90,17.60,19.80
India,Cuttack,Feb,29.80,19.60,20.10
India,Cuttack,Mar,31.80,21.80,30.70
India,Cuttack,Apr,33.90,23.40,49.00
India,Cuttack,May,35.50,25.60,68.60
India,Cuttack,Jun,34.70,26.80,233.20
India,Cuttack,Jul,34.10,27.40,328.80
India,Cuttack,Aug,33.70,27.20,285.80
India,Cuttack,Sep,33.30,27.00,249.60
India,Cuttack,Oct,31.90,25.80,164.30
India,Cuttack,Nov,29.30,23.40,43.90
India,Cuttack,Dec,27.10,18.40,19.80
India,Mohali,Jan,19.00,6.10,15.80
India,Mohali,Feb,21.60,8.10,19.50
India,Mohali,Mar,24.40,11.10,29.60
India,Mohali,Apr,28.20,14.40,46.50
India,Mohali,May,32.00,17.60,66.80
India,Mohali,Jun,34.80,21.00,188.00
India,Mohali,Jul,34.20,21.60,314.20
India,Mohali,Aug,33.60,21.40,309.40
India,Mohali,Sep,32.80,20.60,258.80
India,Mohali,Oct,30.80,18.60,163.30
India,Mohali,Nov,27.20,13.40,43.20
India,Mohali,Dec,19.80,7.60,19.00
